product_category_name,category_english,category_english_group,is_hedonic,is_experience,matrix_quadrant
construcao_ferramentas_iluminacao,construction_tools_lights,construction_tools_lights,0,0,Q1: Search & Utilitarian (Functional Staples)
industria_comercio_e_negocios,industry_commerce_and_business,industry_commerce_and_business,0,0,Q1: Search & Utilitarian (Functional Staples)
alimentos,food,food_and_drink,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
artes,art,art,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
moveis_quarto,furniture_bedroom,furniture_bedroom,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
livros_interesse_geral,books_general_interest,books_general_interest,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
construcao_ferramentas_seguranca,construction_tools_safety,construction_tools_safety,0,0,Q1: Search & Utilitarian (Functional Staples)
fashion_underwear_e_moda_praia,fashion_underwear_beach,fashion_underwear_beach,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
fashion_esporte,fashion_sport,fashion_sport,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
sinalizacao_e_seguranca,signaling_and_security,signaling_and_security,0,0,Q1: Search & Utilitarian (Functional Staples)
pcs,computers,computers,0,0,Q1: Search & Utilitarian (Functional Staples)
artigos_de_natal,christmas_supplies,christmas_supplies,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
fashion_roupa_feminina,fashion_female_clothing,fashion_female_clothing,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
eletrodomesticos_2,home_appliances_2,home_appliances,0,0,Q1: Search & Utilitarian (Functional Staples)
livros_importados,books_imported,books_imported,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
bebidas,drinks,drinks,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
cine_foto,cine_photo,cine_photo,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
la_cuisine,la_cuisine,la_cuisine,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
musica,music,music,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
casa_conforto_2,home_comfort_2,home_comfort,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,small_appliances,0,0,Q1: Search & Utilitarian (Functional Staples)
cds_dvds_musicais,cds_dvds_musicals,cds_dvds_musicals,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
dvds_blu_ray,dvds_blu_ray,dvds_blu_ray,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
flores,flowers,flowers,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
artes_e_artesanato,arts_and_craftmanship,arts_and_craftmanship,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
fraldas_higiene,diapers_and_hygiene,diapers_and_hygiene,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,fashion_childrens_clothes,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
seguros_e_servicos,security_and_services,security_and_services,0,0,Q1: Search & Utilitarian (Functional Staples)
pc_gamer,pc_gamer,pc_gamer,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
portateis_cozinha_e_preparadores_de_alimentos,portable_kitchen_food_preparers,portable_kitchen_food_preparers,0,0,Q1: Search & Utilitarian (Functional Staples)
